"Supplementary Table 2: Description of the 1,893 libraries that comprise the mammalian evo-devo resource "														
														
library ID	Used library?	Species (strain)	Organ	Developmental stage	Sex	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID
784	yes	Chicken (red junglefowl)	Kidney	P155	Female	OBIWAN 111 lane 2	P155	41810446	40407750	97%	QIAgen RNeasy QIAzol	NA	9	NA
785	yes	Chicken (red junglefowl)	Heart	P155	Female	VADER 191 lane 8	P155	55100325	53017846	96%	QIAgen RNeasy QIAzol	NA	8.7	NA
786	yes	Chicken (red junglefowl)	Liver	P155	Female	VADER 191 lane 8	P155	41534686	39972284	96%	QIAgen RNeasy QIAzol	NA	9	NA
787	yes	Chicken (red junglefowl)	Ovary	P155	Female	VADER 191 lane 8	P155	21757252	20616636	95%	QIAgen RNeasy QIAzol	NA	8.9	NA
917	yes	Chicken (red junglefowl)	Liver	P155	Male	OBIWAN 106 lane 5	P155	33502963	32516681	97%	QIAgen RNeasy QIAzol	NA	8.8	NA
918	yes	Chicken (red junglefowl)	Kidney	P155	Male	OBIWAN 106 lane 5	P155	29271808	28244068	96%	QIAgen RNeasy QIAzol	NA	8.3	NA
920	yes	Chicken (red junglefowl)	Testis	P155	Male	WINDU 7 lane 1	P155	52107421	50143860	96%	QIAgen RNeasy QIAzol	NA	8.8	NA
921	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P155	Male	WINDU 7 lane 1	P155	37989573	36217886	95%	QIAgen RNeasy QIAzol	NA	8.2	NA
922	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P155	Male	WINDU 7 lane 1	P155	29822429	28618138	96%	QIAgen RNeasy QIAzol	NA	8.4	NA
1757	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P35	Female	OBIWAN 43 lane 6	P35	31250383	29864743	96%	QIAgen RNeasy QIAzol	NA	9.1	NA
1758	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P35	Female	OBIWAN 42 lane 7	P35	70579799	64301560	91%	QIAgen RNeasy QIAzol	NA	9	NA
1759	yes	Chicken (red junglefowl)	Heart	P35	Female	OBIWAN 88 lane 5	P35	39081179	37821326	97%	QIAgen RNeasy QIAzol	NA	8.6	NA
1760	yes	Chicken (red junglefowl)	Liver	P35	Female	VADER 126 lane 2	P35	18898584	18371550	97%	QIAgen RNeasy QIAzol	NA	9.2	NA
1761	yes	Chicken (red junglefowl)	Ovary	P35	Female	OBIWAN 42 lane 6	P35	25209401	23560721	93%	QIAgen RNeasy QIAzol	NA	8.6	NA
1762	yes	Chicken (red junglefowl)	Testis	P35	Male	VADER 123 lane 6	P35	26795491	24941168	93%	QIAgen RNeasy QIAzol	NA	9.2	NA
1763	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P35	Male	VADER 123 lane 6	P35	26577897	24951498	94%	QIAgen RNeasy QIAzol	NA	8.8	NA
